"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"2","0.240269","184.75.212.37","192.168.1.208","ESP","590","ESP (SPI=0x0cd8984e)"
"3","0.242361","192.168.1.208","184.75.212.37","ESP","1470","ESP (SPI=0xcc2cce0f)"
"4","0.242610","192.168.1.208","184.75.212.37","ESP","494","ESP (SPI=0xcc2cce0f)"
"5","0.258161","184.75.212.37","192.168.1.208","ESP","174","ESP (SPI=0x0cd8984e)"
"6","0.258334","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"7","0.259247","192.168.1.208","184.75.212.37","ESP","174","ESP (SPI=0xcc2cce0f)"
"8","0.301634","184.75.212.37","192.168.1.208","ESP","1470","ESP (SPI=0x0cd8984e)"
"9","0.301650","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"10","0.302606","192.168.1.208","184.75.212.37","ESP","158","ESP (SPI=0xcc2cce0f)"
"11","0.302606","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"12","0.326936","184.75.212.37","192.168.1.208","ESP","414","ESP (SPI=0x0cd8984e)"
"13","0.326943","184.75.212.37","192.168.1.208","ESP","126","ESP (SPI=0x0cd8984e)"
"14","0.327564","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"15","0.328958","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"16","0.362154","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"17","2.081854","192.168.1.160","255.255.255.255","DB-LSP-DISC","349","Dropbox LAN sync Discovery Protocol"
"18","2.082648","192.168.1.160","192.168.1.255","DB-LSP-DISC","349","Dropbox LAN sync Discovery Protocol"
"19","3.209516","192.168.1.208","52.4.170.83","TLSv1.2","131","Application Data"
"20","3.260308","52.4.170.83","192.168.1.208","TCP","66","443  >  62651 [ACK] Seq=1 Ack=66 Win=11 Len=0 TSval=2392565065 TSecr=1240615443"
"21","7.738039","192.168.1.208","54.149.48.210","TCP","54","62670  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"22","7.812961","54.149.48.210","192.168.1.208","TCP","66","[TCP ACKed unseen segment] 443  >  62670 [ACK] Seq=1 Ack=2 Win=422 Len=0 TSval=442367610 TSecr=1240609966"
"23","8.239290","192.168.1.208","192.168.1.100","TCP","54","62786  >  9098 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"24","8.240886","192.168.1.208","184.75.212.37","ESP","126","ESP (SPI=0xcc2cce0f)"
"25","8.245526","192.168.1.100","192.168.1.208","TCP","66","[TCP ACKed unseen segment] 9098  >  62786 [ACK] Seq=1 Ack=2 Win=85 Len=0 TSval=3697277729 TSecr=1237642315"
"26","8.293142","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"27","9.310915","192.168.1.208","52.4.170.83","TLSv1.2","129","Application Data"
"28","9.325400","52.4.170.83","192.168.1.208","TCP","66","443  >  62651 [ACK] Seq=1 Ack=129 Win=11 Len=0 TSval=2392566581 TSecr=1240621536"
"29","9.326352","52.4.170.83","192.168.1.208","TLSv1.2","129","Application Data"
"30","9.326402","192.168.1.208","52.4.170.83","TCP","66","62651  >  443 [ACK] Seq=129 Ack=64 Win=2047 Len=0 TSval=1240621550 TSecr=2392566581"
"31","9.459475","192.168.1.208","184.75.212.37","ESP","126","ESP (SPI=0xcc2cce0f)"
"32","9.509821","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"33","10.273776","184.75.212.37","192.168.1.208","ESP","174","ESP (SPI=0x0cd8984e)"
"34","10.273898","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"35","10.274161","192.168.1.208","184.75.212.37","ESP","174","ESP (SPI=0xcc2cce0f)"
"36","10.345571","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"37","12.708384","192.168.1.208","184.75.212.37","ESP","174","ESP (SPI=0xcc2cce0f)"
"38","12.769484","184.75.212.37","192.168.1.208","ESP","174","ESP (SPI=0x0cd8984e)"
"39","12.769616","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"40","13.335561","192.168.1.208","192.168.1.255","UDP","86","57621  >  57621 Len=44"
"41","13.337091","192.168.1.208","184.75.212.37","ESP","158","ESP (SPI=0xcc2cce0f)"
"42","13.338855","ArrisGro_d7:4e:80","Apple_52:e2:bc","ARP","60","Who has 192.168.1.208? Tell 192.168.1.100"
"43","13.338990","Apple_52:e2:bc","ArrisGro_d7:4e:80","ARP","42","192.168.1.208 is at 88:e9:fe:52:e2:bc"
"44","13.372378","184.75.212.37","192.168.1.208","ESP","190","ESP (SPI=0x0cd8984e)"
"45","13.653928","184.75.212.37","192.168.1.208","ESP","190","ESP (SPI=0x0cd8984e)"
"46","13.654015","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"47","13.654260","184.75.212.37","192.168.1.208","ESP","174","ESP (SPI=0x0cd8984e)"
"48","13.654262","184.75.212.37","192.168.1.208","ESP","174","ESP (SPI=0x0cd8984e)"
"49","13.654320","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"50","13.654327","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"51","13.654583","192.168.1.208","184.75.212.37","ESP","174","ESP (SPI=0xcc2cce0f)"
"52","13.712748","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"53","14.664475","192.168.1.208","184.75.212.37","ESP","462","ESP (SPI=0xcc2cce0f)"
"54","14.724342","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
"55","14.987220","184.75.212.37","192.168.1.208","ESP","350","ESP (SPI=0x0cd8984e)"
"56","14.987226","184.75.212.37","192.168.1.208","ESP","190","ESP (SPI=0x0cd8984e)"
"57","14.987385","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"58","14.987386","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"59","16.180672","192.168.1.208","184.75.212.37","ESP","334","ESP (SPI=0xcc2cce0f)"
"60","16.262624","184.75.212.37","192.168.1.208","ESP","654","ESP (SPI=0x0cd8984e)"
"61","16.262805","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"62","16.263156","184.75.212.37","192.168.1.208","ESP","174","ESP (SPI=0x0cd8984e)"
"63","16.263162","184.75.212.37","192.168.1.208","ESP","174","ESP (SPI=0x0cd8984e)"
"64","16.263375","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"65","16.263376","192.168.1.208","184.75.212.37","ESP","142","ESP (SPI=0xcc2cce0f)"
"66","16.264352","192.168.1.208","184.75.212.37","ESP","174","ESP (SPI=0xcc2cce0f)"
"67","16.365836","184.75.212.37","192.168.1.208","ESP","142","ESP (SPI=0x0cd8984e)"
